video,sentence,start,end
Mci9oyb5V2E-00_00_06.000-00_00_06.589.mp4,hello,00:00:06.000,00:00:06.589
4SVP0ShrpN0-00_04_43.833-00_04_45.250.mp4,captioned by aslcaptions.com,00:04:43.833,00:04:45.250
4SVP0ShrpN0-00_04_41.291-00_04_43.833.mp4,see you tomorrow and stay with the light,00:04:41.291,00:04:43.833
4SVP0ShrpN0-00_04_38.291-00_04_41.291.mp4,check out our other videos on moth,00:04:38.291,00:04:41.291
4SVP0ShrpN0-00_04_35.750-00_04_38.291.mp4,that is all the news briefs for today,00:04:35.750,00:04:38.291
4SVP0ShrpN0-00_04_13.500-00_04_33.541.mp4,first responders rappelled to the body and confirmed that the person was deceased and shockingly found bones that belonged to someone else but it is not known who the person is nor how long the remains were there,00:04:13.500,00:04:33.541
4SVP0ShrpN0-00_04_04.000-00_04_13.500.mp4,a witness said the man fell about 100 feet and then slid about 150 feet,00:04:04.000,00:04:13.500
4SVP0ShrpN0-00_03_57.000-00_04_04.000.mp4,his name was orlando serrano-arzola,00:03:57.000,00:04:04.000
4SVP0ShrpN0-00_03_38.667-00_03_57.000.mp4,a 25-year-old man who wanted to take pictures at the glen canyon national recreation area in arizona fell over 250 feet off a cliff to his death on monday,00:03:38.667,00:03:57.000
4SVP0ShrpN0-00_03_31.667-00_03_38.667.mp4,"he is due in court on march 8, 2021",00:03:31.667,00:03:38.667
4SVP0ShrpN0-00_03_25.792-00_03_31.667.mp4,it is not known who signed the surety bond,00:03:25.792,00:03:31.667
4SVP0ShrpN0-00_03_02.957-00_03_25.792.mp4,usa today said chauvin got out on a surety bond which requires someone to sign an agreement to pay the bond if chauvin violates the terms of his release,00:03:02.957,00:03:25.792
4SVP0ShrpN0-00_02_30.332-00_02_45.167.mp4,he co founded the rock band van halen and was considered one of the greatest electric guitar players of all time,00:02:30.332,00:02:45.167
4SVP0ShrpN0-00_02_19.582-00_02_30.332.mp4,musician eddie van halen passed away on tuesday at the age of 65 from throat cancer,00:02:19.582,00:02:30.332
4SVP0ShrpN0-00_04_33.541-00_04_35.750.mp4,there is an investigation,00:04:33.541,00:04:35.750
4SVP0ShrpN0-00_01_54.500-00_02_05.042.mp4,news reports said white house staff wore ppe and that it was required of visitors,00:01:54.500,00:02:05.042
ftjAL7MnqsE-00_02_48.335-00_03_04.283.mp4,they said all four worked together to murder floyd three who restrained floyd 's body on the floor and one who controlled the crowd,00:02:48.335,00:03:04.283
ftjAL7MnqsE-00_02_41.061-00_02_48.335.mp4,prosecutors want all four officers to be tried together,00:02:41.061,00:02:48.335
ftjAL7MnqsE-00_02_02.688-00_02_41.061.mp4,abc news reported that the four former police officers who are charged with the death of george floyd on may 25 have argued that each should get their own trial and tried to diminish their roles in floyd 's death by pointing their fingers at one another,00:02:02.688,00:02:41.061
ftjAL7MnqsE-00_01_52.078-00_02_02.688.mp4,members of congress held a moment of silence on the steps of the u.s. capitol building,00:01:52.078,00:02:02.688
